"customer Id",Purchase_Count,Customer_Type
CUST0021,2,Returning
CUST0271,5,Returning
CUST0171,1,New
CUST0213,2,Returning
CUST0030,2,Returning
CUST0111,1,New
CUST0035,2,Returning
CUST0029,2,Returning
CUST0107,3,Returning
CUST0117,2,Returning
CUST0101,4,Returning
CUST0135,1,New
CUST0231,2,Returning
CUST0087,4,Returning
CUST0255,3,Returning
CUST0034,3,Returning
CUST0232,4,Returning
CUST0061,2,Returning
CUST0104,3,Returning
CUST0191,1,New
CUST0287,1,New
CUST0079,3,Returning
CUST0090,1,New
CUST0120,2,Returning
CUST0233,1,New
CUST0234,2,Returning
CUST0265,2,Returning
CUST0214,1,New
CUST0292,1,New
CUST0166,1,New
CUST0040,2,Returning
CUST0209,1,New
CUST0014,1,New
CUST0257,1,New
CUST0217,1,New
