"Customer ID",Total_Spent,Spending_Category
CUST0027,6850,"Low Spender"
CUST0107,6750,"Low Spender"
CUST0159,6650,"Low Spender"
CUST0226,6600,"Low Spender"
CUST0196,6590,"Low Spender"
CUST0065,6500,"Low Spender"
CUST0004,6500,"Low Spender"
CUST0079,6500,"Low Spender"
CUST0041,6400,"Low Spender"
CUST0199,6340,"Low Spender"
CUST0128,6300,"Low Spender"
CUST0059,6290,"Low Spender"
CUST0099,6200,"Low Spender"
CUST0264,6150,"Low Spender"
CUST0001,6150,"Low Spender"
CUST0122,6100,"Low Spender"
CUST0216,6010,"Low Spender"
CUST0124,6000,"Low Spender"
CUST0258,6000,"Low Spender"
CUST0067,6000,"Low Spender"
CUST0230,6000,"Low Spender"
CUST0191,6000,"Low Spender"
CUST0090,6000,"Low Spender"
CUST0150,5950,"Low Spender"
CUST0022,5930,"Low Spender"
CUST0052,5860,"Low Spender"
CUST0283,5840,"Low Spender"
CUST0078,5800,"Low Spender"
CUST0011,5750,"Low Spender"
CUST0152,5730,"Low Spender"
CUST0255,5700,"Low Spender"
CUST0211,5640,"Low Spender"
CUST0174,5630,"Low Spender"
CUST0247,5600,"Low Spender"
CUST0080,5600,"Low Spender"
CUST0101,5500,"Low Spender"
CUST0251,5460,"Low Spender"
CUST0298,5420,"Low Spender"
CUST0162,5400,"Low Spender"
CUST0066,5390,"Low Spender"
CUST0228,5370,"Low Spender"
CUST0188,5350,"Low Spender"
CUST0146,5300,"Low Spender"
CUST0051,5300,"Low Spender"
CUST0142,5150,"Low Spender"
CUST0105,5150,"Low Spender"
CUST0202,5090,"Low Spender"
CUST0182,5080,"Low Spender"
CUST0189,5080,"Low Spender"
CUST0085,5050,"Low Spender"
CUST0082,4900,"Low Spender"
CUST0003,4890,"Low Spender"
CUST0184,4890,"Low Spender"
CUST0028,4850,"Low Spender"
CUST0242,4800,"Low Spender"
CUST0044,4550,"Low Spender"
CUST0179,4500,"Low Spender"
CUST0267,4500,"Low Spender"
CUST0030,4400,"Low Spender"
CUST0273,4390,"Low Spender"
CUST0266,4350,"Low Spender"
CUST0026,4300,"Low Spender"
CUST0081,4200,"Low Spender"
CUST0279,4180,"Low Spender"
CUST0087,4160,"Low Spender"
CUST0012,3990,"Low Spender"
CUST0259,3960,"Low Spender"
CUST0239,3950,"Low Spender"
CUST0180,3950,"Low Spender"
CUST0036,3900,"Low Spender"
CUST0149,3850,"Low Spender"
CUST0155,3800,"Low Spender"
CUST0127,3800,"Low Spender"
CUST0019,3750,"Low Spender"
CUST0045,3730,"Low Spender"
CUST0285,3700,"Low Spender"
CUST0220,3650,"Low Spender"
CUST0268,3540,"Low Spender"
CUST0071,3520,"Low Spender"
CUST0039,3500,"Low Spender"
CUST0250,3500,"Low Spender"
CUST0020,3500,"Low Spender"
CUST0186,3480,"Low Spender"
CUST0183,3450,"Low Spender"
CUST0118,3450,"Low Spender"
CUST0210,3400,"Low Spender"
CUST0227,3350,"Low Spender"
CUST0114,3350,"Low Spender"
CUST0241,3350,"Low Spender"
CUST0029,3300,"Low Spender"
CUST0168,3250,"Low Spender"
CUST0134,3200,"Low Spender"
CUST0287,3200,"Low Spender"
CUST0038,3050,"Low Spender"
CUST0016,2900,"Low Spender"
CUST0240,2900,"Low Spender"
CUST0270,2850,"Low Spender"
CUST0208,2720,"Low Spender"
CUST0049,2700,"Low Spender"
CUST0042,2650,"Low Spender"
CUST0130,2650,"Low Spender"
CUST0291,2630,"Low Spender"
CUST0037,2600,"Low Spender"
CUST0126,2560,"Low Spender"
CUST0284,2550,"Low Spender"
CUST0092,2550,"Low Spender"
CUST0024,2500,"Low Spender"
CUST0263,2400,"Low Spender"
CUST0073,2300,"Low Spender"
CUST0158,2300,"Low Spender"
CUST0047,2300,"Low Spender"
CUST0145,2300,"Low Spender"
CUST0213,2200,"Low Spender"
CUST0077,2170,"Low Spender"
CUST0271,2170,"Low Spender"
CUST0103,2110,"Low Spender"
CUST0252,2100,"Low Spender"
CUST0055,2000,"Low Spender"
CUST0076,1930,"Low Spender"
CUST0083,1900,"Low Spender"
CUST0094,1900,"Low Spender"
CUST0181,1800,"Low Spender"
CUST0093,1800,"Low Spender"
CUST0248,1800,"Low Spender"
CUST0048,1800,"Low Spender"
CUST0245,1720,"Low Spender"
CUST0238,1720,"Low Spender"
CUST0207,1700,"Low Spender"
CUST0062,1700,"Low Spender"
CUST0243,1700,"Low Spender"
CUST0148,1670,"Low Spender"
CUST0222,1660,"Low Spender"
CUST0225,1640,"Low Spender"
CUST0172,1620,"Low Spender"
CUST0286,1600,"Low Spender"
CUST0224,1600,"Low Spender"
CUST0290,1600,"Low Spender"
CUST0086,1600,"Low Spender"
CUST0050,1590,"Low Spender"
CUST0115,1590,"Low Spender"
CUST0215,1590,"Low Spender"
CUST0154,1580,"Low Spender"
CUST0002,1550,"Low Spender"
CUST0116,1520,"Low Spender"
CUST0025,1500,"Low Spender"
CUST0249,1500,"Low Spender"
CUST0260,1500,"Low Spender"
CUST0177,1430,"Low Spender"
CUST0008,1370,"Low Spender"
CUST0195,1300,"Low Spender"
CUST0068,1280,"Low Spender"
CUST0141,1230,"Low Spender"
CUST0297,1200,"Low Spender"
CUST0121,1150,"Low Spender"
CUST0221,1110,"Low Spender"
CUST0007,1100,"Low Spender"
CUST0061,1100,"Low Spender"
CUST0140,1090,"Low Spender"
CUST0229,1090,"Low Spender"
CUST0280,1050,"Low Spender"
CUST0013,1000,"Low Spender"
CUST0089,990,"Low Spender"
CUST0192,980,"Low Spender"
CUST0054,950,"Low Spender"
CUST0018,910,"Low Spender"
CUST0102,900,"Low Spender"
CUST0164,900,"Low Spender"
CUST0246,900,"Low Spender"
CUST0111,900,"Low Spender"
CUST0300,890,"Low Spender"
CUST0153,860,"Low Spender"
CUST0167,800,"Low Spender"
CUST0097,800,"Low Spender"
CUST0235,800,"Low Spender"
CUST0075,750,"Low Spender"
CUST0205,700,"Low Spender"
CUST0143,600,"Low Spender"
CUST0033,600,"Low Spender"
CUST0278,600,"Low Spender"
CUST0161,600,"Low Spender"
CUST0237,600,"Low Spender"
CUST0104,600,"Low Spender"
CUST0233,600,"Low Spender"
CUST0214,600,"Low Spender"
CUST0120,550,"Low Spender"
CUST0043,520,"Low Spender"
CUST0219,510,"Low Spender"
CUST0072,500,"Low Spender"
CUST0136,500,"Low Spender"
CUST0171,500,"Low Spender"
CUST0265,500,"Low Spender"
CUST0057,450,"Low Spender"
CUST0117,450,"Low Spender"
CUST0040,450,"Low Spender"
CUST0147,400,"Low Spender"
CUST0056,400,"Low Spender"
CUST0074,400,"Low Spender"
CUST0108,400,"Low Spender"
CUST0098,400,"Low Spender"
CUST0262,320,"Low Spender"
CUST0021,320,"Low Spender"
CUST0169,300,"Low Spender"
CUST0244,300,"Low Spender"
CUST0163,300,"Low Spender"
CUST0014,300,"Low Spender"
CUST0035,270,"Low Spender"
CUST0165,250,"Low Spender"
CUST0170,250,"Low Spender"
CUST0017,250,"Low Spender"
CUST0209,250,"Low Spender"
CUST0190,200,"Low Spender"
CUST0157,200,"Low Spender"
CUST0009,200,"Low Spender"
CUST0135,200,"Low Spender"
CUST0294,150,"Low Spender"
CUST0292,120,"Low Spender"
CUST0166,120,"Low Spender"
CUST0100,100,"Low Spender"
CUST0217,90,"Low Spender"
CUST0194,60,"Low Spender"
CUST0254,60,"Low Spender"
CUST0005,60,"Low Spender"
CUST0257,60,"Low Spender"
